"","site","type","lat","lon","N","R2","rMAE","CV_GPP","CV_W","CV_T","CV_TW","Residuals","rT_unique","rW_unique","rTW_shared","rTW_total","MAT","MAP"
"11","AU-Stp","GRA",-17.1507,133.3502,58,0.602692449581461,1.81999830701082,0.872817445578195,0.190057397165932,0.0305284988984844,0.188354617921481,0.3287,-0.0026,0.4622,0.122002085505735,0.581707135408908,26.7146077310514,597.841648273054
"12","AU-Wac","EBF",-37.4259,145.1878,48,0.312799071480728,0.389948438727281,0.231673886801834,0.138139220198402,0.250532307012749,0.197491369731215,0.5336,0.1516,-0.0257,0.275514579759863,0.401372212692967,11.9218425729389,720.612843843682
"13","AU-Whr","EBF",-36.6732,145.0294,48,0.242507098100831,0.389160589479378,0.3206866478555,0.166165015744739,0.224213466225934,0.217025218703819,0.5321,0.0306,0.0307,0.38213293438769,0.443470827099808,14.9391861072336,549.993841610733
"14","AU-Wom","EBF",-37.4222,144.0944,60,0.716896331426242,0.413961747009404,0.329735209279337,0.148290263149156,0.254384680691207,0.18278065795809,0.1946,-0.0032,-0.0032,0.556990315371244,0.550533896200646,11.6089418175411,639.719699087126
"15","BE-Bra","MF",51.30761,4.51984,152,0.792227362887907,0.329635280420625,0.770787680808375,0.240599823021774,0.304768696865607,0.432484016446769,0.1526,0.0253,0.0019,0.358390370545197,0.385532216190701,10.8327657222751,832.026864103857
"16","BE-Lon","CRO",50.55162,4.74623,117,0.637847307741849,0.563021813031007,1.30020621942749,0.247916604251457,0.339735353076387,0.457064171798856,0.474,-0.0076,6e-04,0.304182509505703,0.297148288973384,10.3102876078383,856.42673051594
"17","BE-Vie","MF",50.30493,5.99812,155,0.853236265187627,0.260937593199621,0.69591107255907,0.221359710641517,0.407841750499233,0.517876430617623,0.0883,0.0385,-4e-04,0.379730174399473,0.417790940002194,8.49798256807111,1115.43650777378
"18","BR-Sa3","EBF",-3.01803,-54.97144,29,0.0767209443880205,0.383029015511028,0.191349188554414,0.0734018043381564,0.0070207939784416,0.0733427487903835,0.6091,0.0138,0.136,0.0933742645177795,0.243284727551803,26.3139503166361,2681.46695495882
"19","CA-Gro","MF",48.2167,-82.1556,116,0.779889221890231,0.582573268853432,0.848185929545191,0.174671632663704,0.666032871681697,0.721178328511438,0.2443,0.01,0.0695,0.333597988619823,0.412994574566627,2.75834128312761,864.52253164091
"20","CA-Man","ENF",55.87962,-98.48081,68,0.011746538051143,0.894208962562392,1.87877389913606,0.181728143833187,0.847423082772398,0.895766791197895,0.9743,-0.5798,-0.068,0.560311284046693,-0.0856031128404669,-1.83095765788528,592.369847011947
"21","CA-NS1","ENF",55.87917,-98.48389,35,0.798265858783994,0.554727806522583,0.63464570659879,0.192366069449868,0.742866970063458,0.770145108691589,0.1604,0.1783,0.0188,0.382920438303954,0.580038113387327,-1.83095765788528,592.369847011947
"22","CA-NS2","ENF",55.90583,-98.52472,46,0.270185903561917,0.672165674060711,0.752355718619543,0.162332848319124,0.919567129251871,0.966953472757437,0.785,0.3827,-0.03,0.517674418604651,0.870232558139535,-1.83095765788528,592.369847011947
"23","CA-NS3","ENF",55.91167,-98.38222,51,0.754350194773017,0.519192429736498,0.884339833113343,0.161784641143187,0.925329961777756,0.982507428345319,0.1705,0.1086,0.0012,0.391199517781796,0.501024713682942,-1.86087562218432,592.549957098944
"24","CA-NS4","ENF",55.91437,-98.380645,36,0.796531165407617,0.876058559344124,1.00104672929166,0.157927976794661,0.797671619428709,0.857889995338117,0.2917,0.0252,0.0306,0.48863475928279,0.544543272624594,-1.86087562218432,592.549957098944
"25","CA-NS5","ENF",55.86306,-98.485,45,0.813238317812614,0.395483332424613,0.799022097411435,0.184268893579386,0.796144535000056,0.859911788246464,0.1595,0.0201,0.0951,0.423081499107674,0.538251041046996,-1.83095765788528,592.369847011947
"26","CA-NS6","OSH",55.91667,-98.96444,39,0.647655373385624,0.838823248477684,1.00885467167566,0.18178297814496,0.649221955792377,0.722033749198298,0.301,-0.0123,-0.0114,0.507010014306152,0.483261802575107,-1.61320851311774,590.144364051405
